userId,username,type,description,amount,createdAt
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,BONUS,Hoşgeldin bonusu (tek seferlik),10,2026-04-28 12:17:10.432
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,Desen üretimi,-1000,2026-04-28 12:18:46.818
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,Desen üretimi,100,2026-04-28 12:19:04.57
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,Desen üretimi,5000,2026-04-28 12:19:46.965
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:19:47.949
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:20:18.354
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:22:19.729
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,Desen üretimi,-1,2026-04-28 12:22:50.156
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,Desen üretimi,0,2026-04-28 12:22:50.636
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:22:51.507
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:22:51.529
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:27:40.213
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:29:40.975
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:31:10.572
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:31:36.272
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:31:36.28
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:31:36.287
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:31:36.321
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:31:36.325
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:32:08.666
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:32:08.683
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,Export: PDF,-1,2026-04-28 12:32:39.174
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,"Export: PDF, TIFF, PSD",-5,2026-04-28 12:32:42.218
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:33:22.588
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,Desen üretimi,10000,2026-04-28 12:34:11.771
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:37:09.037
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:37:09.051
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:48:46.675
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:49:02.868
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:49:03.588
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:49:12.003
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:49:20.023
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:49:20.717
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:49:21.199
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:49:21.377
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:49:21.947
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:49:22.562
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:49:22.737
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:49:47.047
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:50:52.545
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:50:53.267
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:51:14.188
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:51:15.412
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:51:16
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:51:16.749
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:52:01.015
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:52:24.229
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:52:50.589
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:52:58.137
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:53:28.635
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:55:11.895
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:55:46.851
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:55:47.556
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:13.388
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:14.091
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:14.6
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:14.783
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:15.353
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:15.595
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:16.193
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:16.446
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:17.043
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:17.247
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:17.835
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:18.035
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:18.606
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:18.809
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:19.4
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:19.705
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 12:56:20.338
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 12:56:20.532
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:00:59.218
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:01:01.047
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:01:12.784
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:01:13.526
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:01:24.26
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:01:24.466
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:01:37.196
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,REFUND,Engine Sync Failure - Refunded,2,2026-04-28 13:01:37.897
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:02:04.804
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:02:45.47
cmoilcgeq389cqo0f7wk908dj,BANNED-Attacker,USAGE,PATTERN_GENERATION - Sapphire Neural Core v4,-2,2026-04-28 13:03:09.314
